text,intent,sentiment
"ketagihan beli disini the best, halo pesan dong 1 lusin ya",order,positive
"makasih min sepatunya dah sampe bagus banget, mau checkout lg nih",order,positive
"bro tengkyu ya barangnya the best, ini aku order ya lg buat kado",order,positive
"suka bgt sama barangnya gak nyesel, jadi pengen order ya warna lain",order,positive
"paketnya super cakep bener, pesan dong sekarang sblm kehabisan",order,positive
"makasi min produknya dah sampe bags bgt, mau mau beli lg nih",order,positive
ass order ya bajunya krn kemaren beli the best makasih ya,order,positive
"pesan dong ah, racun bgt tiktoknya top markotop makasih byk min",order,positive
"ty min sepatunya dah sampe the best, mau mau pesan lg nih",order,positive
"ty min barangnya dah sampe keren bgt, mau co lg nih",order,positive
"barangnya super gak nyesel, beli sekarang sblm kehabisan",order,positive
"order ya ah, racun bgt tiktoknya mantul ty min",order,positive
"ketagihan beli disini top markotop, halo beli 1 lusin ya",order,positive
"mau pesan ah, racun bgt tiktoknya puas bgt ty min",order,positive
"ass terima kasih min ya produknya keren bgt, ini aku checkout lg buat kado",order,positive
"pesan dong ah, racun bgt tiktoknya luar biasa thx min",order,positive
"ketagihan beli disini kece parah, halo min pesan dong 1 lusin ya",order,positive
"ketagihan beli disini gak nyesel, kakak co 1 lusin ya",order,positive
"thx min sepatunya dah sampe gak nyesel, mau co lg nih",order,positive
langsung mau beli lagi soalnya yg kmrn gak nyesel bgt,order,positive
"ngab ty ya produknya the best, nih aku mau beli lg buat kado",order,positive
langsung mau pesan lagi soalnya yg kmrn puas bgt bgt,order,positive
"mau pesan ah, racun bgt tiktoknya luar biasa makasih byk min",order,positive
"siang terima kasih min ya bajunya keren bgt, nih aku checkout lg buat kado",order,positive
langsung mau beli lagi soalnya yg kmrn recommended bgt,order,positive
langsung beli lagi soalnya yg kmrn recommended bgt,order,positive
kak mau pesan bajunya krn kemaren beli cakep bener terima kasih min,order,positive
langsung mau beli lagi soalnya yg kmrn mantap bgt,order,positive
langsung pesan dong lagi soalnya yg kmrn recommended bgt,order,positive
"kak makasih byk ya pesanannya bintang 5, ini aku beli lg buat kado",order,positive
assalamualaikum pesan dong pesanannya krn kemaren beli top markotop tengkyu,order,positive
"barangnya super cakep bener, checkout sekarang sblm kehabisan",order,positive
"barangnya super mantap, mau order sekarang sblm kehabisan",order,positive
"bro makasih ya produknya puas bgt, ini aku beli lg buat kado",order,positive
"ketagihan beli disini kece parah, sis mau pesan 1 lusin ya",order,positive
p mau pesan paketnya krn kemaren beli cakep bener makasi,order,positive
"terima kasih min min paketnya dah sampe mantap, mau mau pesan lg nih",order,positive
"ketagihan beli disini mantap, ass pesan dong 1 lusin ya",order,positive
"co ah, racun bgt tiktoknya cakep bener makasih byk min",order,positive
"beli ah, racun bgt tiktoknya recommended thx min",order,positive
"tengkyu min paketnya dah sampe recommended, mau mau beli lg nih",order,positive
assalamualaikum order ya sepatunya krn kemaren beli luar biasa ty,order,positive
langsung mau beli lagi soalnya yg kmrn mantap bgt,order,positive
"pagi tq ya sepatunya bagus banget, ini aku mau beli lg buat kado",order,positive
"mau beli ah, racun bgt tiktoknya recommended thx min",order,positive
"suka bgt sm bajunya bintang 5, jadi pengen checkout warna lain",order,positive
"suka bgt sama sepatunya mantul, jadi pengen mau order warna lain",order,positive
p mau pesan produknya krn kemaren beli top markotop makasi,order,positive
"beli ah, racun bgt tiktoknya mantul tengkyu min",order,positive
"thx min paketnya dah sampe gak nyesel, mau co lg nih",order,positive
langsung pesan dong lagi soalnya yg kmrn keren bgt bgt,order,positive
"ketagihan beli disini luar biasa, min co 1 lusin ya",order,positive
"pagi thx ya barangnya mantul, ini aku order ya lg buat kado",order,positive
"suka bgt sm sepatunya top markotop, jadi pengen order ya warna lain",order,positive
"pesan dong ah, racun bgt tiktoknya mantul makasih min",order,positive
ngab mau order produknya krn kemaren beli keren bgt thx,order,positive
pagi mau pesan produknya krn kemaren beli keren bgt thx,order,positive
langsung mau pesan lagi soalnya yg kmrn recommended bgt,order,positive
"co ah, racun bgt tiktoknya cakep bener makasi min",order,positive
"terima kasih min min bajunya dah sampe bagus banget, mau checkout lg nih",order,positive
"pagi terima kasih min ya paketnya mantap, ini aku order ya lg buat kado",order,positive
langsung order ya lagi soalnya yg kmrn mantul bgt,order,positive
"ketagihan beli disnih bintang 5, halo mau beli 1 lusin ya",order,positive
"mau pesan ah, racun bgt tiktoknya mantap makasi min",order,positive
"produknya super mantul, mau pesan sekarang sblm kehabisan",order,positive
"ketagihan beli disnih recommended, p pesan dong 1 lusin ya",order,positive
"suka bgt sama barangnya recommended, jadi pengen order ya warna lain",order,positive
"order ya ah, racun bgt tiktoknya mantul makasi min",order,positive
"pesan dong ah, racun bgt tiktoknya top markotop tengkyu min",order,positive
langsung mau beli lagi soalnya yg kmrn luar biasa bgt,order,positive
"checkout ah, racun bgt tiktoknya bintang 5 makasih ya min",order,positive
"beli ah, racun bgt tiktoknya gak nyesel makasih min",order,positive
"suka bgt sm barangnya recommended, jadi pengen pesan dong warna lain",order,positive
