"text","intent","sentiment"
"Ass. Selamat Pagi Min, saya mau tanya CARA ORDER nya gimana yah???","inquiry","neutral"
"Pagi min!! Barang saya KOK BELUM DATANG??? sudah 1 minggu lohh!!","complaint","negative"
"Ass wr wb. mau tanya min, iyh barang yag dijual disini asli semua kah??","inquiry","neutral"
"HALLO MIN SELAMAT SIANG!! mau pesan 2 biji bisa kah??","order","positive"
"Pagi min. barang saya datang TAPI RUSAK!!! minta ganti rugi bisah???","complaint","negative"
"Ass. Min saya bingung cara transfernya gimana yah. tolong di bantu yah min!!","inquiry","neutral"
"MIN HALLO!!! kenapa tidak di balas pesannya??? saya tunggu dari tadi!!!","complaint","negative"
"selamat pagi min!! saya mau order tapi tidak tau caranya gimana???","inquiry","neutral"
"Ass. Saya sudah kirim uang tapi barangnya kok belum datang min???!!!","complaint","negative"
"Pagi Min!! mau tanya iyh ukuran L itu besar atau gmn yah??","inquiry","neutral"
"ASSALAMUALAIKUM MIN!! mau pesan dong, masih ada stok kahh???","order","positive"
"min barang saya CACAT!!! ini gimana yah caranya komplen???","complaint","negative"
"Ass. selamat sore min. numpang tanya yah. cara ordernya lewat sini atau kemana??","inquiry","neutral"
"Pagi min!! mau beli 3 buah bisa tidak??? harga satuannya berapa??","order","neutral"
"MIN!! barang datang tapi ISI NYA KURANG SATU!!! ini tanggung jawab siapa???","complaint","negative"
"ass wr wb. maaf mengganggu min. cara daftar membernya gmn yah??","inquiry","neutral"
"Selamat Pagi!! saya mau pesan tapi bingung iyh harus kemana dulu??","inquiry","neutral"
"BARANG SAYA RUSAK MIN!!! MINTA TOLONG DI GANTI SEKARANG!!!","complaint","negative"
"Pagi min. boleh tanya yah. iyh barangnya bisa dikirim ke luar kota kahh??","inquiry","neutral"
"Ass. Min mau pesan 1 buah. caranya gimana yah min tolong di bantu???","order","neutral"
"min ini kenapa tidak ada yag angkat telepon saya??? sudah coba berkali kali!!!","complaint","negative"
"SELAMAT PAGI MIN!! numpang tanya, iyh bisa bayar ditempat tidak???","inquiry","neutral"
"Ass. saya terima barang tapi BEDA WARNA dengan yag saya pesan!!! gimana ini??","complaint","negative"
"Pagi min!! mau order nih. transfer ke rekening mana yah???","order","neutral"
"MIN TOLONG DONG!!! barang saya sudah rusak tapi tidak ada yag respon!!!","complaint","negative"
"Ass wr wb. Selamat siang min. Mau tanya cara cek resi itu gimana yah??","inquiry","neutral"
"Pagi!! mau pesan dong min. masih buka tidak tokonya??","order","positive"
"barang saya datang PENYOK MIN!!! ini minta ganti atau gimana caranya???","complaint","negative"
"ASSALAMUALAIKUM. min saya mau beli tapi tidak ngerti caranya gimana??","inquiry","neutral"
"Pagi min!! sudah saya transfer tadi. ini konfirmasinya lewat sini yah??","order","positive"
"MIN!!! kenapa chat saya tidak di balas dari kemarin?? ada masalah apa ini???","complaint","negative"
"Ass. maaf min mau nanya. iyh kalo mau order itu harus isi formulir dulu kahh??","inquiry","neutral"
"Selamat Pagi MIN!! mau pesan 5 buah. ada harga khusus tidak yah??","order","neutral"
"BARANG NYA TIDAK SESUAI GAMBAR MIN!!! ini mau saya kembalikan gimana??","complaint","negative"
"Pagi min. numpang tanya yah. iyh cara kirim bukti transfernya kemana???","inquiry","neutral"
"Ass. Mau pesan min. tapi saya bingung iyh harus chat disini atau ada appnya??","inquiry","neutral"
"MIN BARANG SAYA HILANG!!! ekspedisinya bilang sudah dikirim tapi tidak ada!!!","complaint","negative"
"Pagi min!! boleh pesan dulu tidak, nanti bayarnya malam bisa??","order","neutral"
"ass. min saya dapat barang tapi KARDUSNYA HANCUR!!! isi dalamnya gmn ini??","complaint","negative"
"Selamat Pagi Min!! mau tanya. iyh disini terima orderan dalam jumlah banyak kahh??","inquiry","neutral"
"HALLO MIN SELAMAT PAGI!!! sudah saya bayar kok tidak ada konfirmasi???!!!","complaint","negative"
"Pagi min. Maaf nanya lagi. cara lacak kiriman itu gimana yah step by stepnya??","inquiry","neutral"
"Ass wr wb. mau pesan min!! ada warna selain iyh yag di foto tidak??","order","neutral"
"MIN INI BARANG SAYA RUSAK PARAH!!! TOLONG TANGGUNG JAWAB!!!","complaint","negative"
"Pagi min!! mau nanya dong. iyh kalo sudah order bisa dibatalkan tidak??","inquiry","neutral"
"Ass. Salam kenal min!! Mau beli 1 dulu coba2. caranya gmn yah??","order","positive"
"barang tidak sampai min!!! sudah 10 hari!!! ini uang saya kemana???!!!","complaint","negative"
"SELAMAT PAGI MIN!! mau tanya iyh ini toko resmi atau tidak??","inquiry","neutral"
"Pagi min. boleh pesan lewat whatsapp ini yah?? langsung chat sini saja??","inquiry","neutral"
"MIN!! saya pesan warna merah tapi yag datang warna pink!!! ini salah siapa??","complaint","negative"
"Ass. mau order min!! berapa total ongkir ke jawa timur yah??","order","neutral"
"Pagi Min!! mau tanya. ukuran M itu sama dengan ukuran standar tidak yah??","inquiry","neutral"
"BARANG SAYA CACAT MIN!!! SUDAH 3 HARI TIDAK ADA RESPON!!! GIMANA INI???","complaint","negative"
"Ass wr wb. selamat pagi. mau beli kado buat anak. rekomendasinya apa yah min??","inquiry","positive"
"Pagi min!! transfer sudah saya lakukan. ini perlu kirim buktinya tidak???","order","positive"
"MIN kenapa tidak dibalas dari tadi?? saya ada keperluan penting ini!!!","complaint","negative"
"Ass. maaf nanya min. iyh disini bisa pesan lewat telepon tidak??","inquiry","neutral"
"SELAMAT PAGI!! mau pesan dong min. masih ada stok yag warna biru???","order","positive"
"barang rusak min!!! saya minta UANG KEMBALI SEKARANG!!!","complaint","negative"
"Pagi min. numpang tanya. cara bayar COD itu gimana yah prosesnya??","inquiry","neutral"
"Ass. Min mau pesan untuk hadiah. bisa dibungkus cantik tidak???","order","positive"
"MIN INI SUDAH SAYA TUNGGU 2 MINGGU!!! BARANG KAPAN DATANGNYA???!!!","complaint","negative"
"Pagi min!! mau tanya dulu. iyh barang yag di foto itu ready stok atau PO??","inquiry","neutral"
"Ass wr wb. Selamat sore min. mau order tapi tidak tau rekening tujuannya??","inquiry","neutral"
"BARANG NYA RUSAK MIN!!! INI GIMANA CARANYA KOMPLAIN???!!!","complaint","negative"
"Pagi min!! boleh pesan 2 tidak. satunya buat saya satunya buat teman??","order","positive"
"min saya sudah bayar TAPI TIDAK ADA KONFIRMASI SAMA SEKALI!!! ini gimana??","complaint","negative"
"Ass. mau nanya min. iyh bisa retur barang tidak kalo tidak cocok??","inquiry","neutral"
"Selamat Pagi MIN!! excited mau pesan!! transfer ke no rekening berapa??","order","positive"
"MIN!! kenapa orderan saya belum diproses?? sudah 4 hari lohh!!!","complaint","negative"
"Pagi min. maaf mengganggu. iyh cara daftar jadi reseller gmn yah??","inquiry","neutral"
"ASSALAMUALAIKUM MIN!! mau pesan sekarang boleh yah?? masih open??","order","positive"
"barang saya datang TIDAK LENGKAP MIN!!! mana sisanya??? ini tanggung jawab!!","complaint","negative"
"Ass. min numpang tanya. iyh kalo mau order banyak ada potongan harga tidak??","inquiry","neutral"
"Pagi Min!! mau beli buat koleksi. ada edisi terbatas tidak yah??","inquiry","neutral"
"BARANG SAYA TIDAK DATANG MIN!!! UANG SUDAH MELAYANG!!! TOLONG!!!","complaint","negative"
"Ass wr wb. Selamat pagi. mau pesan 10 buah bisa tidak min??","order","neutral"
"Pagi min!! mau tanya. iyh ongkir itu ditanggung pembeli atau penjual??","inquiry","neutral"
"MIN INI SUDAH CHAT DARI SUBUH!!! KENAPA TIDAK ADA BALASAN SAMA SEKALI???","complaint","negative"
"Ass. maaf ganggu min. cara konfirmasi pembayaran itu gmn yah??","inquiry","neutral"
"Selamat Pagi MIN!! mau pesan dong!! excited nih. stok masih ada kan??","order","positive"
"barang sampai tapi SEMUANYA RUSAK MIN!!! minta pertanggungjawaban!!!","complaint","negative"
"Pagi min. mau tanya dulu sebelum order. pengirimannya pakai ekspedisi apa??","inquiry","neutral"
"ASSALAMUALAIKUM!! min mau order sekarang. reknya masih sama yag kemarin??","order","neutral"
"MIN!! gambar di foto bagus tapi yag datang jelek sekali!!! ini bohong namanya!!!","complaint","negative"
"Ass. Min numpang tanya. iyh disini ada garansi tidak kalo barang rusak??","inquiry","neutral"
"Pagi min!! mau beli kado buat suami. kira2 yag cocok apa yah??","inquiry","positive"
"BARANG CACAT MIN!!! SUDAH LAPOR TAPI TIDAK ADA RESPON 5 HARI!!!","complaint","negative"
"Ass wr wb. mau pesan min!! gimana cara ordernya yah, bingung nih??","order","neutral"
"Pagi Min!! transfer sudah. mohon segera diproses yah min!! terima kasih!!","order","positive"
"MIN INI BARANG PALSU!!! TIDAK SESUAI DESKRIPSI!!! TIPU TIPU!!!","complaint","negative"
"Ass. maaf min mau nanya dulu. iyh ini testimoninya bisa dilihat tidak??","inquiry","neutral"
"Selamat Pagi MIN!! mau order pertama kali. tolong dibimbing yah cara ordernya??","inquiry","positive"
"barang datang min tapi RUSAK DAN KOTOR!!! ini dikirim dari mana yah???!!!","complaint","negative"
"Pagi min. Boleh pesan via chat sini yah?? tidak perlu ke web??","inquiry","neutral"
"ASSALAMUALAIKUM MIN!! SELAMAT PAGI!! mau pesan dong, masih ada stok???","order","positive"
"MIN ini kok lama sekali tidak dibalas!!! saya ada urusan penting ini yah!!!","complaint","negative"
